DTP Enlistment Date,CI Screening result at  DODCAF,ARMY G1 Review,USCIS Notified on Final Suitability
3/3/16,1/22/18,,
1/4/16,11/3/17,,
5/25/16,1/5/18,Suitable,2/15/18
6/9/16,1/23/18,,
2/18/16,1/26/18,Suitable,3/20/18
4/7/16,3/2/18,,
4/11/16,1/23/18,Suitable,2/15/18
2/8/16,1/24/18,Suitable,4/10/18
12/3/15,9/13/17,Suitable,3/1/18
3/1/16,2/20/18,,
6/9/16,2/5/18,Suitable,4/18/18
5/4/16,1/26/18,,
12/7/15,9/15/17,,
1/11/16,11/26/17,Suitable,3/1/18
4/21/16,2/4/18,,
3/16/16,11/12/17,,
3/11/16,12/13/17,,
6/8/16,1/19/18,Suitable,3/1/18
4/26/16,1/14/18,,
2/5/16,1/30/18,Suitable,3/23/18
1/29/16,11/8/17,,
3/14/16,12/7/17,,
1/14/16,2/27/18,,
12/7/15,9/11/17,Suitable,3/1/18
3/28/16,2/4/18,,
3/17/16,11/26/17,Suitable,3/1/18
10/26/15,11/20/17,,
4/27/16,1/16/18,,
3/18/16,,,
2/26/16,1/14/18,,
6/24/16,1/8/18,,
2/18/16,3/8/18,,
12/23/15,1/25/18,Suitable,4/10/18
4/5/16,2/1/18,,
12/15/15,11/1/17,Suitable,3/1/18
11/12/15,10/30/17,,
12/23/15,12/28/17,,
1/11/16,1/25/18,,
4/7/16,1/26/18,,
5/31/16,1/25/18,Suitable,4/18/18
3/18/16,11/29/17,,
6/1/16,2/18/18,,
2/22/16,10/24/17,Suitable,3/1/18
3/3/16,2/27/18,Suitable,4/3/18
5/12/16,1/9/18,,
10/16/15,2/6/18,,
12/17/15,11/4/17,,
6/1/16,2/23/18,,
1/29/16,12/28/17,Suitable,5/2/18
3/3/16,11/21/17,Suitable,3/1/18
6/16/16,1/30/18,,
1/19/16,11/21/17,Suitable,3/1/18
2/18/16,11/22/17,,
4/14/16,1/9/18,Suitable,4/10/18
3/16/16,11/14/17,,
4/5/16,2/1/18,Suitable,3/23/18
6/1/16,2/5/18,,
1/13/16,10/8/17,,
2/11/16,2/5/18,,
6/20/16,2/5/18,,
12/17/15,11/18/17,,
1/13/16,1/3/18,Suitable,3/1/18
1/14/16,11/22/17,Suitable,2/15/18
5/10/16,2/5/18,,
4/12/16,1/17/18,,
12/8/15,2/21/18,,
5/20/16,3/6/18,Suitable,5/2/18
3/10/16,11/29/17,Suitable,3/1/18
12/1/15,8/29/17,Unsuitable,
3/11/16,1/9/18,,
2/5/16,,,
4/1/16,1/3/18,,
12/23/15,10/24/17,Suitable,2/27/18
5/3/16,2/11/18,Suitable,4/3/18
1/29/16,11/26/17,Suitable,3/1/18
1/6/16,10/20/17,Suitable,3/1/18
