CEIPT_DT_1,INTERV EW_DT_1,DECISION_DT_1,RECEIPT_DT_2,INTERV EW_DT_2,DECISION_DT_2,DEC SION_DT_4,INTERVIEW_COMPLETED   SCHEDULED_INTERVIEW_DT,DEP_DTP_Enlistment_Date   ,CI_Screening_Results_at_DoDCAF  , Completed_MSSD,USCIS_Notified_on_F nal_Su tab lity_Determination_ Date)
7/25/17,,,11/20/17,,,,,3/31/16,12/4/17,,
2/8/18,,,,,,,,6/23/16,2/28/18,,
12/5/16,,,,,,,6/30/18,10/8/15,9/6/17,4/10/18,4/10/18
5/26/17,5/29/18,,,,,Yes,6/12/18,12/15/15,9/23/17,3/1/18,3/1/18
7/24/17,,,,,,,6/26/18,12/30/15,10/15/17,4/18/18,4/18/18
7/17/17,,,,,,,,5/10/16,1/8/18,,
2/20/18,,,,,,,,2/9/16,10/4/17,3/1/18,3/1/18
6/21/17,,,,,,,,4/21/16,1/3/18,,
2/21/17,,,,,,,,6/16/16,2/2/18,,
4/23/18,,,,,,,,3/29/16,2/28/18,4/18/18,4/18/18
3/28/17,,,,,,,,4/7/16,3/5/18,,
7/7/17,,,,,,,,1/22/16,1/22/18,,
3/22/17,4/11/18,,,,,Yes,,4/20/16,1/5/18,3/1/18,3/1/18
4/12/18,,,,,,,,6/15/16,1/11/18,4/10/18,4/10/18
3/30/17,,,3/30/17,,,,,6/1/16,1/3/18,,
2/13/17,,,,,,,,5/12/16,2/13/18,,
8/14/17,,,,,,,7/10/18,12/29/15,9/24/17,4/10/18,4/10/18
3/10/17,,,,,,,,2/2/16,12/27/17,,
3/27/17,,,,,,,,4/29/16,1/4/18,5/11/18,5/11/18
9/18/17,,,,,,,,3/25/16,1/31/18,4/18/18,4/18/18
4/24/18,,,,,,,,11/30/15,1/10/18,,
4/3/17,5/21/18,,,,,Yes,,1/20/16,10/4/17,4/10/18,4/10/18
7/21/17,,,,,,,,4/28/16,1/29/18,5/2/18,5/2/18
7/19/17,,,,,,,,6/9/16,2/8/18,5/2/18,5/2/18
12/8/17,4/11/18,4/18/18,,,,Yes,,12/1/15,9/17/17,1/16/18,1/16/18
1/12/18,5/16/18,5/16/18,,,,Yes,,5/2/16,1/16/18,5/2/18,5/2/18
4/2/18,,,,,,,,3/24/16,12/22/17,,
4/9/18,,,,,,,,5/24/16,1/4/18,4/10/18,4/10/18
8/28/17,,,,,,,6/26/18,4/26/16,3/6/18,4/18/18,4/18/18
11/20/17,,,,,,,,12/1/15,2/23/18,5/11/18,5/11/18
2/6/17,,,,,,,,4/19/16,2/5/18,5/2/18,5/2/18
